#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;;;;;;;;;;;;;0
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
#GREEK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
baron_greek;Taxeôtai;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_greek;Eugenia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_title_ruler_consort_greek;Taxeôtai;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_title_ruler_consort_female_greek;Eugenia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
count_greek;Notarios;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
count_female_greek;Eugenia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
count_title_ruler_consort_greek;Notarios;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
count_title_ruler_consort_female_greek;Eugenia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
duke_greek;Krites;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
duke_female_greek;Eugenia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
duke_title_ruler_consort_greek;Krites;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
duke_title_ruler_consort_female_greek;Eugenia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
king_greek;Notarios;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
king_female_greek;Eugenia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
king_title_ruler_consort_greek;Eugenios;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
king_title_ruler_consort_female_greek;Eugenia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_greek;Basileus;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_female_greek;Basilissa;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_title_ruler_consort_female_greek;Basilissa;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
title_prince_greek;Kaisar;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
title_prince_female_greek;Eugenia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
barony_of_greek;Kastron;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
county_of_greek;Tourma;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
duchy_of_greek;Thema;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
kingdom_of_greek;Theme of;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
city_baron_greek;Kephale;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
city_count_greek;Archon;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
city_duke_greek;Protarchon;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
city_king_greek;Protodoux;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
city_emperor_greek;Megas Kyrios;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
city_barony_of_greek;Kephalatikion;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
city_county_of_greek;Polis;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
city_duchy_of_greek;Politeia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
city_kingdom_of_greek;Archipoliteia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
city_empire_of_greek;Dynasteia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
temple_count_greek;Episkopos;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
temple_duke_greek;Archiepiskopos;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
vice_royalty_count_greek;Strategos;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
vice_royalty_duke_greek;Strategos;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
vice_royalty_king_greek;Exarchos;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
vice_royalty_duchy_of_byzantine;Thema;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
#SWEDISH,;DANISH;and;NORWEGIAN;;;;;;;;;;;;;;;;;;;;;;;;;;0
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
baron_danish;Herra;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_gothic;Herra;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_icelandic;Herra;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_swedish;Herra;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_norwegian;Herra;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_danish;Frú;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_gothic;Frú;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_icelandic;Frú;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_swedish;Frú;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_norwegian;Frú;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
count_norse;Thane;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
count_danish;Herra;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
count_icelandic;Landnámaður;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
count_gothic;Herra;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
