#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
TRUE_VASSAL_NAME;Vassal;Vassal;Tributstaat;;Estado tributario;;;;;;;;;x
TRUE_VASSAL_PLURAL;Vassaux;Vassaux;Tributstaaten;;Estados tributarios;;;;;;;;;x
SUZERAIN_DEFAULT_NAME;Suzerain;Suzerain;Suzerän;;Soberano;;;;;;;;;x
SUZERAIN_TRUE_VASSAL_NAME;Suzerain;Souverain;Dauerhafter Suzerän;;Soberano permanente;;;;;;;;;x
##Decisions;;;;;;;;;;;;;;x
convocation_au_ban_offensif;Summon Our Vassals to War;Convocation Du Ban;;;;;;;;;;;;x
convocation_au_ban_offensif_desc;It is time for us to call the ban and order our direct vassals to prepare for war. They will provide troops as per the customs of our land.;;;;;;;;;;;;;x
convocation_au_ban_defensive;Summon Our Vassals for the Defense of the Realm;Convocation Du Ban;;;;;;;;;;;;x
convocation_au_ban_defensive_desc;The realm is now under attack and it is time for us to call the ban and order our direct vassals to prepare for war to repel the invaders. They will provide troops as per the customs of our land.;;;;;;;;;;;;;x
appel_au_ban;Our direct Vassals will receive a call to war;;;;;;;;;;;;;x
conscript_merchant_ships;Conscript Merchant Ships;;;;;;;;;;;;;x
conscript_merchant_ships_desc;Conscript Merchant Shipping;;;;;;;;;;;;;x
true_vassals_hommage;Pledge Homage to my Suzerain;;;;;;;;;;;;;x
homage;I will pledge my oath of homage to my suzerain as is the custom.;;;;;;;;;;;;;x
offer_vassalage;Offer Vassalization;;;;;;;;;;;;;x
offer_vassalage_desc;We can convince [Root.GetTitledName] to swear homage to us and enter into a liege contract.;;;;;;;;;;;;;x
swear_fealty_true_vassal;Offer Vassalage;;;;;;;;;;;;;x
swear_fealty_true_vassal_desc;We can offer [Root.GetTitledName] to accept our homage and enter into a liege contract with him.;;;;;;;;;;;;;x
set_up_vassal;Give Landed Title;;;;;;;;;;;;;x
create_kingdom_k_brittany;Claim the title of King of Brittany;;;;;;;;;;;;;x
appel_du_ban;Call to Arms;;;;;;;;;;;;;x
##Traits;;;;;;;;;;;;;;x
imperial_fleet_commander;Fleet Admiral;;;;;;;;;;;;;x
imperial_fleet_commander_desc;This character is trained in ship warfare and is less suited to leading troops on land.;;;;;;;;;;;;;x
warveteranht;War Veteran;;;;;;;;;;;;;x
warveteranht_desc;This character has been victorious in 3 or more major battless.;;;;;;;;;;;;;x
warveteranht5;War Veteran;;;;;;;;;;;;x;
warveteranht5_desc;This character has been victorious in 5 or more major battles.;;;;;;;;;;;;;x
warveteranht10;War Veteran;;;;;;;;;;;;;x
warveteranht10_desc;This character has been victorious in 10 or more major battles.;;;;;;;;;;;;;x
warveteranht15;War Veteran;;;;;;;;;;;;;x
warveteranht15_desc;This character has been victorious in 15 or more major battles.;;;;;;;;;;;;;x
warveteranht20;War Veteran;;;;;;;;;;;;;x
warveteranht20_desc;This character has been victorious in 20 or more major battles.;;;;;;;;;;;;;x
warveteranht25;War Veteran;;;;;;;;;;;;;x
warveteranht25_desc;This character has been victorious in 25 or more major battles.;;;;;;;;;;;;;x
roman_imperial_bureaucrat_government;Theme;;;;;;;;;;;;;x
roman_imperial_bureaucrat_government_desc;The themes or themata are the main military/administrative divisions of the Eastern Roman Empire.  The original theme system underwent significant changes and they are now more of a garrison force as the central tagmatic armies have gathered importance;;;;;;;;;;;;;x
d_tagmata;Imperial Tagmata;;;;;;;;;;;;;x 
d_tagmata2;Imperial Tagmata;;;;;;;;;;;;;x 
d_imperial_fleet;Imperial Fleet;;;;;;;;;;;;;x 
d_imperial_fleet2;Imperial Fleet;;;;;;;;;;;;;x 
d_imperial_fleet3;Imperial Fleet;;;;;;;;;;;;;x 
d_alexandrian_fleet;Alexandrian Fleet;;;;;;;;;;;;;x 
d_syrian_fleet;Syrian Fleet;;;;;;;;;;;;;x 
enlarge_tagmata;Enlarge the Tagmata;;;;;;;;;;;;;x 
