#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#k_papal_state;Status Pontificius;;;;;;;;;;;;;x
#k_papal_state_adj;Sanctimonialis;;;;;;;;;;;;;x
d_degothers;De Gothers;;;;;;;;;;;;;x
d_degothers_adj;De Gothers;;;;;;;;;;;;;x
d_devenders;De Venders;;;;;;;;;;;;;x
d_devenders_adj;De Venders;;;;;;;;;;;;;x
k_austria;Österreich;;;;;;;;;;;;;x
k_austria_adj;Österreichische;;;;;;;;;;;;;x
k_oldlivonia;Livonija;;;;;;;;;;;;;x
k_oldlivonia_adj;Livonijas;;;;;;;;;;;;;x
k_gardariki;Garðaríki;;;;;;;;;;;;;x
k_gardariki_adj;Garðaríkr;;;;;;;;;;;;;x
k_toulouse;Tolosa;;;;;;;;;;;;;x
k_toulouse_adj;Tolosan;;;;;;;;;;;;;x
k_flanders;Vlaanderen;;;;;;;;;;;;;x
k_flanders_adj;Vlaamse;;;;;;;;;;;;;x
k_provence;Provença;;;;;;;;;;;;;x
k_provence_adj;Provençal;;;;;;;;;;;;;x
k_york;Jórvik;;;;;;;;;;;;;x
k_york_adj;Jórvikian;;;;;;;;;;;;;x
d_austrialombardic;Austria;;;;;;;;;;;;;x
d_austrialombardic_adj;Austrian;;;;;;;;;;;;;x
d_neustria;Neustria;;;;;;;;;;;;;x
d_neustria_adj;Neustrian;;;;;;;;;;;;;x
d_tuscia;Tuscia;;;;;;;;;;;;;x
d_tuscia_adj;Tuscian;;;;;;;;;;;;;x
d_amalfi;Amalfi;;;;;;;;;;;;;x
d_amalfi_adj;Amalfitani;;;;;;;;;;;;;x
d_norman_apulia;Apulia;;;;;;;;;;;;;x
d_norman_apulia_adj;Apulian;;;;;;;;;;;;;x
d_lower_lorraine;Niederlothringen;;;;;;;;;;;;;x
d_lower_lorraine_adj;Niederlothringische;;;;;;;;;;;;;x
d_brabanttitular;Brabant;;;;;;;;;;;;;x
d_brabanttitular_adj;Brabantse;;;;;;;;;;;;;x
k_valencia;Valencia;;;;;;;;;;;;;x
k_valencia_adj;Valenciana;;;;;;;;;;;;;x
k_spanish_galicia;Galicia;;;;;;;;;;;;;x
k_spanish_galicia_adj;Gallega;;;;;;;;;;;;;x
k_granada;Granada;;;;;;;;;;;;;x
k_granada_adj;Granadina;;;;;;;;;;;;;x
k_catalunya;Catalunya;;;;;;;;;;;;;x
k_catalunya_adj;Catalana;;;;;;;;;;;;;x
d_alba_de_tormes;Alba de Tormes;;;;;;;;;;;;;x
d_alba_de_tormes_adj;de Alba de Tormes;;;;;;;;;;;;;x
d_alburquerque;Alburquerque;;;;;;;;;;;;;x
d_alburquerque_adj;de Alburquerque;;;;;;;;;;;;;x
d_cardona;Cardona;;;;;;;;;;;;;x
d_cardona_adj;de Cardona;;;;;;;;;;;;;x
d_gandia;Gandia;;;;;;;;;;;;;x
d_gandia_adj;de Gandia;;;;;;;;;;;;;x
d_infantado;Infantado;;;;;;;;;;;;;x
d_infantado_adj;de Infantado;;;;;;;;;;;;;x
d_medina_sidonia;Medina Sidonia;;;;;;;;;;;;;x
d_medina_sidonia_adj;de Medina Sidonia;;;;;;;;;;;;;x
d_medinaceli;Medinaceli;;;;;;;;;;;;;x
d_medinaceli_adj;de Medinaceli;;;;;;;;;;;;;x
e_occitania;Occitània;;;;;;;;;;;;;x
e_occitania_adj;Occitan;;;;;;;;;;;;;x
d_sangermano;Terra Sancti Benedicti;;;;;;;;;;;;;x
d_sangermano_adj;Bendicitian;;;;;;;;;;;;;x
d_swabia;Schwaben;;;;;;;;;;;;;x
d_swabia_adj;Schwäbische;;;;;;;;;;;;;x
d_krain;Krain;;;;;;;;;;;;;x
d_krain_adj;Krainische;;;;;;;;;;;;;x
d_carinthia;Kärnten;;;;;;;;;;;;;x
d_carinthia_adj;Kärntnische;;;;;;;;;;;;;x
d_billungmark;Billungmark;;;;;;;;;;;;;x
d_billungmark_adj;Billungmarkische;;;;;;;;;;;;;x
d_saxon_ostmark;Ostmark;;;;;;;;;;;;;x
d_saxon_ostmark_adj;Ostmarkische;;;;;;;;;;;;;x
d_saxony;Sachsen;;;;;;;;;;;;;x
d_saxony_adj;Sächsische;;;;;;;;;;;;;x
d_bavaria;Baiern;;;;;;;;;;;;;x
d_bavaria_adj;Bairische;;;;;;;;;;;;;x
d_franconia;Franken;;;;;;;;;;;;;x
d_franconia_adj;Fränkische;;;;;;;;;;;;;x
k_salerno;Principato di Salerno;;;;;;;;;;;;;x
k_salerno_adj;Salernian;;;;;;;;;;;;;x
d_yatviags;Jotvingiai;;;;;;;;;;;;;x
d_yatviags_adj;Jotvingiu;;;;;;;;;;;;;x
d_pruthenians;Prùsà;;;;;;;;;;;;;x
d_pruthenians_adj;Prusu;;;;;;;;;;;;;x
d_curonian;Kurši;;;;;;;;;;;;;x
d_curonian_adj;Kuršiu;;;;;;;;;;;;;x
d_zemigalians;Zemgali;;;;;;;;;;;;;x
d_zemigalians_adj;Zemgali;;;;;;;;;;;;;x
d_lettigalians;Latgali;;;;;;;;;;;;;x
d_lettigalians_adj;Latgali;;;;;;;;;;;;;x
d_esthonia;Eesti;;;;;;;;;;;;;x
d_esthonia_adj;Eesti;;;;;;;;;;;;;x
d_narbonne;Narbona;;;;;;;;;;;;;x
d_narbonne_adj;Narbonnais;;;;;;;;;;;;;x
b_friis;Friis;;;;;;;;;;;;;x
b_vadskaer;Vadskær;;;;;;;;;;;;;x
b_ukena;Ukena;;;;;;;;;;;;;x
b_fan_knyphausen;fan Knyphausen;;;;;;;;;;;;;x
b_tjarksena;Tjarksena;;;;;;;;;;;;;x
d_nordfrisland;Utlande;;;;;;;;;;;;;x
d_nordfrisland_adj;Utlandr;;;;;;;;;;;;;x
b_limbek;Limbekburgr;;;;;;;;;;;;;x
b_wittenborg;Wittenborg;;;;;;;;;;;;;x
b_warendorp;Warendorp;;;;;;;;;;;;;x
b_pat_luneburg;Lüneburg;;;;;;;;;;;;;x
b_vorrade;Vorrade;;;;;;;;;;;;;x
b_bardewik;Bardewik;;;;;;;;;;;;;x
d_ugandians;Ugandilased;;;;;;;;;;;;;x
d_ugandians_adj;Ugandian;;;;;;;;;;;;;x
d_oseelians;Saarlased;;;;;;;;;;;;;x
d_oeelians_adj;Saarlanian;;;;;;;;;;;;;x
d_vironians;Virulased;;;;;;;;;;;;;x
d_vironians_adj;Virulanian;;;;;;;;;;;;;x
d_rotalians;Läänelased;;;;;;;;;;;;;x
d_rotalians_adj;Läänemaaian;;;;;;;;;;;;;x
d_estonia;Eestlased;;;;;;;;;;;;;x
d_estonia_adj;Eestonian;;;;;;;;;;;;;x
d_vanemas;Vanemi;;;;;;;;;;;;;x
