#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
########################################;;;;;;;;;;;;;;
#JOBS;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
job_chancellor_greek;Logothetes tou Dromou;;;;;;;;;;;;;x
job_marshal_greek;Megas Domestikos;;;;;;;;;;;;;x
job_treasurer_greek;Megas Logothetes;;;;;;;;;;;;;x
job_chancellor_welsh;Gwas Ystafell;;;;;;;;;;;;;x
job_marshal_welsh;Penteulu;;;;;;;;;;;;;x
job_treasurer_welsh;Distain;;;;;;;;;;;;;x
job_spiritual_welsh;Offeiriad Teulu;;;;;;;;;;;;;x
job_chancellor_swedish;Kansler;;;;;;;;;;;;;x
job_marshal_swedish;Marsk;;;;;;;;;;;;;x
job_treasurer_swedish;Dróttinn;;;;;;;;;;;;;x
job_chancellor_danish;Kansler;;;;;;;;;;;;;x
job_marshal_danish;Marsk;;;;;;;;;;;;;x
job_treasurer_danish;Dróttinn;;;;;;;;;;;;;x
job_chancellor_norwegian;Kansler;;;;;;;;;;;;;x
job_marshal_norwegian;Marsk;;;;;;;;;;;;;x
job_treasurer_norwegian;Dróttinn;;;;;;;;;;;;;x
job_chancellor_scottish;Great Chamberlain;;;;;;;;;;;;;x
job_marshal_scottish;Marischal;;;;;;;;;;;;;x
job_treasurer_scottish;Great Steward;;;;;;;;;;;;;x
job_chancellor_english;Lord Chancellor;;;;;;;;;;;;;x
job_marshal_english;Lord Constable;;;;;;;;;;;;;x
job_treasurer_english;Lord Steward;;;;;;;;;;;;;x
job_spiritual_saxon;Capellan;;;;;;;;;;;;;x
job_chancellor_frankish;Chancelier;;;;;;;;;;;;;x
job_marshal_frankish;Connétable;;;;;;;;;;;;;x
job_treasurer_frankish;Sénéchal;;;;;;;;;;;;;x
job_chancellor_occitan;Chancelier;;;;;;;;;;;;;x
job_marshal_occitan;Connétable;;;;;;;;;;;;;x
job_treasurer_occitan;Sénéchal;;;;;;;;;;;;;x
job_marshal_castillan;Alférez;;;;;;;;;;;;;x
job_chancellor_catalan;Canceller;;;;;;;;;;;;;x
job_marshal_catalan;Senescal;;;;;;;;;;;;;x
job_spymaster_catalan;Torsimany;;;;;;;;;;;;;x
job_treasurer_catalan;Mestre Racional;;;;;;;;;;;;;x
job_spiritual_catalan;Confessor;;;;;;;;;;;;;x
#job_viceroy name_catalan;Virrei;Virrei;Virrei;;Virrei;;;;;;;;;x
job_treasurer_norman;Bailli;;;;;;;;;;;;;x
job_chancellor_polish;Kanclerz;;;;;;;;;;;;;x
job_marshal_polish;Marszalek;;;;;;;;;;;;;x
job_treasurer_polish;Podkomorzy;;;;;;;;;;;;;x
job_spymaster_polish;Podkanclerzy;;;;;;;;;;;;;x
job_spiritual_polish;Kapelan;;;;;;;;;;;;;x
job_marshal_serbian;Vojvoda;;;;;;;;;;;;;x
job_treasurer_serbian;Komornik;;;;;;;;;;;;;x
job_chancellor_russian;Dyak;;;;;;;;;;;;;x
job_marshal_russian;Voevoda;;;;;;;;;;;;;x
job_treasurer_russian;Tiun;;;;;;;;;;;;;x
job_spiritual_russian;Duhovnik;;;;;;;;;;;;;x
job_spymaster_russian;Tayny Sovetnik;;;;;;;;;;;;;x
job_chancellor_old_hungarian;Sucek Isbania;;;;;;;;;;;;;x
job_marshal_old_hungarian;Taburnok;;;;;;;;;;;;;x
job_treasurer_old_hungarian;Foltarunok;;;;;;;;;;;;;x
job_spiritual_pagan_group_old_hungarian;Dvari Magiar;;;;;;;;;;;;;x
job_spiritual_old_hungarian;Dvari Kaplan;;;;;;;;;;;;;x
job_spymaster_old_hungarian;Folkuma;;;;;;;;;;;;;x
job_chancellor_hungarian;Ajtónállómester;;;;;;;;;;;;;x
job_marshal_hungarian;Tábornok;;;;;;;;;;;;;x
job_treasurer_hungarian;Tárnokmester;;;;;;;;;;;;;x
job_spiritual_hungarian;Udvari Káplán;;;;;;;;;;;;;x
job_spymaster_hungarian;Kémmester;;;;;;;;;;;;;x
job_chancellor_szekely;Ajtónállómester;;;;;;;;;;;;;x
job_marshal_szekely;Tábornok;;;;;;;;;;;;;x
job_treasurer_szekely;Tárnokmester;;;;;;;;;;;;;x
job_spiritual_szekely;Udvari Káplán;;;;;;;;;;;;;x
job_spymaster_szekely;Kémmester;;;;;;;;;;;;;x
job_chancellor_andalusian_arabic;Hájib;;;;;;;;;;;;;x
job_marshal_romanian;Spitar;;;;;;;;;;;;;x
job_marshal_armenian;Sparapet;;;;;;;;;;;;;x
job_spiritual_armenian;Catholicos;;;;;;;;;;;;;x
job_chancellor_german;Kanzler;;;;;;;;;;;;;x
job_marshal_german;Marschall;;;;;;;;;;;;;x
job_treasurer_german;Schatzmeister;;;;;;;;;;;;;x
job_spiritual_christian_german;Hofprediger;;;;;;;;;;;;;x
job_spymaster_german;Hofspitzel;;;;;;;;;;;;;x
job_chancellor_arabic;Wazír;;;;;;;;;;;;;x
job_chancellor_north_african;Wazír;;;;;;;;;;;;;x
job_chancellor_muslim_andalusian_arabic;Wazír;;;;;;;;;;;;;x
job_chancellor_muslim_arabic;Wazír;;;;;;;;;;;;;x
job_chancellor_muslim_altaic;Wazír;;;;;;;;;;;;;x
job_chancellor_muslim_iranian;Wazír;;;;;;;;;;;;;x
job_chancellor_muslim_north_african;Wazír;;;;;;;;;;;;;x
job_marshal_andalusian_arabic;Qá'id;;;;;;;;;;;;;x
job_marshal_arabic;Qá'id;;;;;;;;;;;;;x
job_marshal_north_african;Qá'id;;;;;;;;;;;;;x
job_treasurer_andalusian_arabic;Kátib;;;;;;;;;;;;;x
job_treasurer_arabic;Hájib;;;;;;;;;;;;;x
job_treasurer_north_african;Kházin;;;;;;;;;;;;;x
job_spymaster_andalusian_arabic;Sáhib al-Shurta;;;;;;;;;;;;;x
job_spymaster_arabic;Sáhib al-Shurta;;;;;;;;;;;;;x
job_spymaster_north_african;Sáhib al-Shurta;;;;;;;;;;;;;x
job_spiritual_sunni;'Álim;;;;;;;;;x
job_spiritual_nabawite;'Álim;;;;;;;;;x
job_spiritual_mahdite;'Álim;;;;;;;;;x
job_spiritual_zikri;'Álim;;;;;;;;;x
job_spiritual_ibadi;'Álim;;;;;;;;;x
job_spiritual_kharijite;'Álim;;;;;;;;;x
